workload,localized_memory_capacity_MiB,total_energy_pJ,planar_total_energy_pJ,total_energy_reduction_percent,cycles,raw_source_file
alexnet_conv1_activation_intensive,2,2256650000,7343230000,69.26897292,732050,ieee_revision/experiments/raw_outputs/sensitivity/alexnet_conv1_activation_intensive/2MiB/timeloop-model.stats.txt
alexnet_conv1_activation_intensive,4,3066110000,7343230000,58.24575834,732050,ieee_revision/experiments/raw_outputs/sensitivity/alexnet_conv1_activation_intensive/4MiB/timeloop-model.stats.txt
alexnet_conv1_activation_intensive,8,3941870000,7343230000,46.31967132,732050,ieee_revision/experiments/raw_outputs/sensitivity/alexnet_conv1_activation_intensive/8MiB/timeloop-model.stats.txt
alexnet_conv1_activation_intensive,16,5217290000,7343230000,28.95102019,732050,ieee_revision/experiments/raw_outputs/sensitivity/alexnet_conv1_activation_intensive/16MiB/timeloop-model.stats.txt
