metric,workload,architecture,value,raw_source_file,extraction_method
total_MACs,alexnet_conv1_activation_intensive,integrated_3d,105415200,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Parse Computes from Summary Stats
latency_us,alexnet_conv1_activation_intensive,integrated_3d,732.05,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt; ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/input.yaml,cycles * 1 ns / 1000 ns/us using input global_cycle_seconds=1e-9
external_DRAM_reads,alexnet_conv1_activation_intensive,integrated_3d,0,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Planar: parsed DRAM reads; 3D: deterministic zero because input has no DRAM component
external_DRAM_writes,alexnet_conv1_activation_intensive,integrated_3d,0,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Planar: parsed DRAM fills+updates; 3D: deterministic zero because input has no DRAM component
total_energy_pJ,alexnet_conv2_compute_intensive,planar,3103780000,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Parse Summary Stats Energy (uJ); multiply by 1e6
energy_per_compute_pJ,alexnet_conv2_compute_intensive,planar,6.92967,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Parse Total fJ/Compute; divide by 1000
cycles,alexnet_conv2_compute_intensive,planar,3110400,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Parse Summary Stats Cycles
utilization,alexnet_conv2_compute_intensive,planar,0.8571,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Parse Summary Stats Utilization percent; divide by 100
DRAM_or_highest_level_energy_pJ,alexnet_conv2_compute_intensive,planar,1121624064,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Sum DRAM leakage and per-dataspace Energy (total)
SRAM_or_local_buffer_energy_pJ,alexnet_conv2_compute_intensive,planar,1803647754,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Sum leakage and Energy (total) for shared_glb and three PE scratchpads
compute_energy_pJ,alexnet_conv2_compute_intensive,planar,178510036.4,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Parse mac Energy (total)
